2022-07-02 10:19:19,424 INFO    MainThread:40699 [wandb_setup.py:_flush():76] Loading settings from /Users/neal/.config/wandb/settings
2022-07-02 10:19:19,425 INFO    MainThread:40699 [wandb_setup.py:_flush():76] Loading settings from /Users/neal/Documents/DR_MachineLearning_Project/wandb/settings
2022-07-02 10:19:19,425 INFO    MainThread:40699 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2022-07-02 10:19:19,425 INFO    MainThread:40699 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'test_train.py', 'program': '/Users/neal/Documents/DR_MachineLearning_Project/test_train.py'}
2022-07-02 10:19:19,425 INFO    MainThread:40699 [wandb_init.py:_log_setup():428] Logging user logs to /Users/neal/Documents/DR_MachineLearning_Project/wandb/run-20220702_101919-2e6gbt3p/logs/debug.log
2022-07-02 10:19:19,425 INFO    MainThread:40699 [wandb_init.py:_log_setup():429] Logging internal logs to /Users/neal/Documents/DR_MachineLearning_Project/wandb/run-20220702_101919-2e6gbt3p/logs/debug-internal.log
2022-07-02 10:19:19,427 INFO    MainThread:40699 [wandb_init.py:init():462] calling init triggers
2022-07-02 10:19:19,427 INFO    MainThread:40699 [wandb_init.py:init():465] wandb.init called with sweep_config: {}
config: {}
2022-07-02 10:19:19,428 INFO    MainThread:40699 [wandb_init.py:init():515] starting backend
2022-07-02 10:19:19,429 INFO    MainThread:40699 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2022-07-02 10:19:19,446 INFO    MainThread:40699 [backend.py:ensure_launched():217] starting backend process...
2022-07-02 10:19:19,462 INFO    MainThread:40699 [backend.py:ensure_launched():222] started backend process with pid: 40705
2022-07-02 10:19:19,466 INFO    MainThread:40699 [wandb_init.py:init():525] backend started and connected
2022-07-02 10:19:19,487 INFO    MainThread:40699 [wandb_init.py:init():596] updated telemetry
2022-07-02 10:19:19,490 INFO    MainThread:40699 [wandb_init.py:init():627] communicating run to backend with 30 second timeout
2022-07-02 10:19:21,012 INFO    MainThread:40699 [wandb_run.py:_on_init():1924] communicating current version
2022-07-02 10:19:21,138 INFO    MainThread:40699 [wandb_run.py:_on_init():1928] got version response upgrade_message: "wandb version 0.12.20 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-07-02 10:19:21,138 INFO    MainThread:40699 [wandb_init.py:init():662] starting run threads in backend
2022-07-02 10:19:23,733 INFO    MainThread:40699 [wandb_run.py:_console_start():1898] atexit reg
2022-07-02 10:19:23,735 INFO    MainThread:40699 [wandb_run.py:_redirect():1771] redirect: SettingsConsole.REDIRECT
2022-07-02 10:19:23,735 INFO    MainThread:40699 [wandb_run.py:_redirect():1776] Redirecting console.
2022-07-02 10:19:23,737 INFO    MainThread:40699 [wandb_run.py:_redirect():1832] Redirects installed.
2022-07-02 10:19:23,738 INFO    MainThread:40699 [wandb_init.py:init():688] run started, returning control to user process
2022-07-02 10:19:24,821 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:19:31,399 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:19:33,633 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:19:35,675 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:19:55,695 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:19:58,716 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:20:00,974 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:20:08,536 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:20:10,606 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:20:12,805 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:20:22,540 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:20:24,659 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:20:26,788 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:20:33,352 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:20:34,934 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:20:36,529 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:20:42,544 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:20:44,180 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:20:45,824 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:20:51,719 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:20:53,338 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:20:55,069 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:21:01,038 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:21:02,661 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:21:04,204 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
