2022-07-13 17:45:33,619 INFO    MainThread:8294 [wandb_setup.py:_flush():76] Loading settings from /Users/neal/.config/wandb/settings
2022-07-13 17:45:33,620 INFO    MainThread:8294 [wandb_setup.py:_flush():76] Loading settings from /Users/neal/Documents/DR_MachineLearning_Project/wandb/settings
2022-07-13 17:45:33,620 INFO    MainThread:8294 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2022-07-13 17:45:33,620 INFO    MainThread:8294 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'DR_new_data_weight.py', 'program': '/Users/neal/Documents/DR_MachineLearning_Project/DR_new_data_weight.py'}
2022-07-13 17:45:33,620 INFO    MainThread:8294 [wandb_init.py:_log_setup():428] Logging user logs to /Users/neal/Documents/DR_MachineLearning_Project/wandb/run-20220713_174533-rxjd5oal/logs/debug.log
2022-07-13 17:45:33,620 INFO    MainThread:8294 [wandb_init.py:_log_setup():429] Logging internal logs to /Users/neal/Documents/DR_MachineLearning_Project/wandb/run-20220713_174533-rxjd5oal/logs/debug-internal.log
2022-07-13 17:45:33,620 INFO    MainThread:8294 [wandb_init.py:init():462] calling init triggers
2022-07-13 17:45:33,620 INFO    MainThread:8294 [wandb_init.py:init():465] wandb.init called with sweep_config: {}
config: {}
2022-07-13 17:45:33,621 INFO    MainThread:8294 [wandb_init.py:init():515] starting backend
2022-07-13 17:45:33,621 INFO    MainThread:8294 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2022-07-13 17:45:33,635 INFO    MainThread:8294 [backend.py:ensure_launched():217] starting backend process...
2022-07-13 17:45:33,648 INFO    MainThread:8294 [backend.py:ensure_launched():222] started backend process with pid: 8301
2022-07-13 17:45:33,655 INFO    MainThread:8294 [wandb_init.py:init():525] backend started and connected
2022-07-13 17:45:33,676 INFO    MainThread:8294 [wandb_init.py:init():596] updated telemetry
2022-07-13 17:45:33,681 INFO    MainThread:8294 [wandb_init.py:init():627] communicating run to backend with 30 second timeout
2022-07-13 17:45:35,256 INFO    MainThread:8294 [wandb_run.py:_on_init():1924] communicating current version
2022-07-13 17:45:35,415 INFO    MainThread:8294 [wandb_run.py:_on_init():1928] got version response upgrade_message: "wandb version 0.12.21 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-07-13 17:45:35,416 INFO    MainThread:8294 [wandb_init.py:init():662] starting run threads in backend
2022-07-13 17:45:40,024 INFO    MainThread:8294 [wandb_run.py:_console_start():1898] atexit reg
2022-07-13 17:45:40,026 INFO    MainThread:8294 [wandb_run.py:_redirect():1771] redirect: SettingsConsole.REDIRECT
2022-07-13 17:45:40,027 INFO    MainThread:8294 [wandb_run.py:_redirect():1776] Redirecting console.
2022-07-13 17:45:40,037 INFO    MainThread:8294 [wandb_run.py:_redirect():1832] Redirects installed.
2022-07-13 17:45:40,038 INFO    MainThread:8294 [wandb_init.py:init():688] run started, returning control to user process
2022-07-13 17:45:47,999 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:46:06,754 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:46:25,237 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:46:46,302 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:47:02,919 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:47:14,835 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:47:29,520 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:47:49,481 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:48:06,048 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:48:19,416 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:48:35,181 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:48:47,113 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:48:58,750 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:49:14,180 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:49:26,261 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:49:38,071 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:49:57,916 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:50:14,047 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:50:25,456 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:50:40,654 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:50:52,257 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:51:03,165 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:51:19,676 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:51:31,347 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:51:42,539 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:51:58,783 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:52:10,572 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:52:22,042 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:52:37,454 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:52:51,888 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:53:04,727 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:53:22,505 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:53:35,602 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:53:49,829 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:54:06,827 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:54:17,999 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:54:29,236 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:54:44,613 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:54:56,358 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:55:07,629 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:55:21,997 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:55:33,673 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:55:45,458 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:56:07,696 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:56:21,775 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:56:33,954 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:56:49,301 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:57:00,666 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:57:11,838 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:57:26,547 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:57:37,783 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:57:51,581 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:58:07,676 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:58:18,587 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:58:30,803 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:58:45,996 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:58:56,995 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 17:59:07,921 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
